,title
376,The Air Up There
377,Another Stakeout
378,Bad Girls
379,Barcelona
380,Being Human
381,The Beverly Hillbillies
382,Beverly Hills Cop III
383,Black Beauty
384,Blink
385,Blown Away
386,Blue Chips
387,Blue Sky
388,Body Snatchers
389,Boxing Helena
390,A Bronx Tale
391,Cabin Boy
392,Carlito's Way
393,City Slickers II: The Legend of Curly's Gold
394,Clean Slate
395,Cliffhanger
396,Coneheads
397,Color of Night
398,Cops & Robbersons
399,The Cowboy Way
400,Dangerous Game
401,Dave
402,Dazed and Confused
403,Demolition Man
404,The Endless Summer 2
405,Even Cowgirls Get the Blues
406,Fatal Instinct
407,Farewell My Concubine
408,The Favor
409,Fearless
410,Fear of a Black Hat
411,With Honors
412,Flesh and Bone
413,Widows' Peak
414,For Love or Money
415,The Firm
416,Free Willy
417,Fresh
418,The Fugitive
419,Geronimo: An American Legend
420,The Getaway
421,Getting Even with Dad
422,Go Fish
423,Guilty as Sin
424,Hard Target
425,Heaven & Earth
426,Hot Shots! Part Deux
427,Live Nude Girls
428,The Englishman Who Went Up a Hill But Came Down a Mountain
429,The House of the Spirits
430,House Party 3
431,The Hudsucker Proxy
432,I'll Do Anything
433,In the Army Now
434,In the Line of Fire
435,In the Name of the Father
436,The Inkwell
437,What's Love Got to Do with It
438,Judgment Night
439,Jurassic Park
440,Kalifornia
441,Killing Zoe
442,King of the Hill
443,Lassie
444,Last Action Hero
445,Life With Mikey
446,Lightning Jack
447,M. Butterfly
448,Made in America
449,Malice
450,The Man without a Face
451,Manhattan Murder Mystery
452,Menace II Society
453,Executive Decision
454,In the Realm of the Senses
455,What Happened Was...
456,Much Ado About Nothing
457,Mr. Jones
458,Mr. Wonderful
459,Mrs. Doubtfire
460,Naked
461,The Next Karate Kid
462,No Escape
463,North
464,Orlando
465,A Perfect World
466,Philadelphia
467,The Piano
468,Poetic Justice
469,The Program
470,The Puppet Masters
471,Radioland Murders
472,The Ref
473,The Remains of the Day
474,Renaissance Man
475,Rising Sun
476,The Road to Wellville
477,RoboCop 3
478,Robin Hood: Men in Tights
479,Romeo Is Bleeding
480,Romper Stomper
481,Ruby in Paradise
482,Rudy
483,Savage Nights
484,Schindler's List
485,The Scout
486,Searching for Bobby Fischer
487,The Secret Garden
488,Serial Mom
489,The Shadow
490,Shadowlands
491,Short Cuts
492,A Simple Twist of Fate
493,Sirens
494,Six Degrees of Separation
495,Sleepless in Seattle
496,Sliver
497,Blade Runner
498,Son in Law
499,So I Married an Axe Murderer
500,Striking Distance
501,Super Mario Bros.
502,Surviving the Game
503,Terminal Velocity
504,Thirty Two Short Films About Glenn Gould
505,Threesome
506,The Nightmare Before Christmas
507,The Three Musketeers
508,Tombstone
509,Trial by Jury
510,True Romance
511,The War Room
512,The Pagemaster
513,"Paris, France"
514,Killer
515,Welcome to the Dollhouse
516,Germinal
517,Chasers
518,Cronos
519,Kika
520,Bhaji on the Beach
521,Little Big League
522,Wide Eyed and Legless
523,"Ciao, Professore!"
524,Spanking the Monkey
525,The Little Rascals
526,Andre
527,Princess Caraboo
528,The Celluloid Closet
529,Café au Lait
530,The Brady Bunch Movie
531,Home Alone
532,Ghost
533,Aladdin
534,Terminator 2: Judgment Day
535,Dances with Wolves
536,The Silence of the Lambs
537,Snow White and the Seven Dwarfs
538,Beauty and the Beast
539,Pinocchio
540,Pretty Woman
541,The Wild Bunch
542,Love and a .45
543,Bye Bye Love
544,One Fine Day
545,Candyman: Farewell to the Flesh
546,Fargo
547,Homeward Bound II: Lost in San Francisco
548,Heavy Metal
549,Hellraiser: Bloodline
550,The Pallbearer
551,Jane Eyre
552,Loaded
553,Bread and Chocolate
554,The Aristocats
555,The Flower of My Secret
556,Ed
557,Scream of Stone
558,My Favorite Season
559,A Thin Line Between Love and Hate
560,The Last Supper
561,Primal Fear
562,Carried Away
563,All Dogs Go to Heaven 2
564,Land and Freedom
565,Denise Calls Up
566,A Family Thing
567,Sgt. Bilko
568,Jack & Sarah
569,Girl 6
570,Diabolique
571,Courage Under Fire
572,Mission: Impossible
573,Moll Flanders
574,The Superwife
575,DragonHeart
576,Eddie
577,Purple Noon
578,James and the Giant Peach
579,Fear
580,Kids in the Hall: Brain Candy
581,Faithful
582,Underground
583,Bloodsport II
584,Pather Panchali
585,The World of Apu
586,Mystery Science Theater 3000: The Movie
587,Space Jam
588,Barbarella
589,Some Folks Call It a Sling Blade
590,The Run of the Country
591,Alphaville
592,Coup de Torchon
593,It's My Party
594,Country Life
595,Operation Dumbo Drop
596,The Promise
597,Mrs. Winterbourne
598,Solo
599,The Substitute
600,True Crime
601,Butterfly Kiss
602,Feeling Minnesota
603,Delta of Venus
604,Angus
605,Faces
606,Boys
607,The Quest
608,Cosi
609,Mulholland Falls
610,The Truth About Cats & Dogs
611,Oliver & Company
612,Celtic Pride
613,Flipper
614,Dead Man
615,The Horseman on the Roof
616,The Visitors
617,Multiplicity
618,"The Haunted World of Edward D. Wood, Jr."
619,The Craft
620,The Great White Hype
621,Last Dance
622,Cold Comfort Farm
623,Heaven's Prisoners
624,The Rock
625,Cemetery Man
626,Twister
627,Barb Wire
628,Ghost in the Shell
629,Thinner
630,Spy Hard
631,A Close Shave
632,Force of Evil
633,The Stupids
634,The Arrival
635,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
636,A Month by the Lake
637,Gold Diggers: The Secret of Bear Mountain
638,Kim
639,Carmen Miranda: Bananas Is My Business
640,Ashes of Time
641,Maya Lin: A Strong Clear Vision
642,Stalingrad
643,The Phantom
644,Striptease
645,Heavy
646,Jack
647,I Shot Andy Warhol
648,The Grass Harp
649,Spirits of the Dead
650,Trainspotting
651,Til There Was You
652,Independence Day
653,Stealing Beauty
654,The Fan
655,The Hunchback of Notre Dame
656,The Cable Guy
657,Kingpin
658,Eraser
659,The Gate of Heavenly Peace
660,The Nutty Professor
661,My Life and Times With Antonin Artaud
662,Daylight
663,The Frighteners
664,Lone Star
665,Harriet the Spy
666,Phenomenon
667,Walking and Talking
668,She's the One
669,A Time to Kill
670,American Buffalo
671,Alaska
672,Fled
673,Kazaam
674,Larger Than Life
675,Two Deaths
676,A Very Brady Sequel
677,Death in the Garden
678,Kaspar Hauser
679,The Adventures of Pinocchio
680,Joe's Apartment
681,The First Wives Club
682,Stonewall
683,Ransom
684,High School High
685,Phat Beach
686,Foxfire
687,Chain Reaction
688,Matilda
689,Emma
690,The Crow: City of Angels
691,House Arrest
692,Eyes Without a Face
693,Bordello of Blood
694,The Story of Xinghua
695,The Day the Sun Turned Cold
696,Flirt
697,The Spitfire Grill
698,Escape from L.A.
699,Cyclo
700,Basquiat
701,Tin Cup
702,The Ballad of Narayama
703,The Godfather
704,Police Story 3: Supercop
705,Wife
706,Small Faces
707,Bound
708,Carpool
709,Kansas City
710,Gone Fishin'
711,Vive L'Amour
712,Nothing to Lose
713,Project S
714,The Relic
715,The Island of Dr. Moreau
716,First Kid
717,The Trigger Effect
718,Bogus
719,Bulletproof
720,The Land Before Time III: The Time of the Great Giving
721,1-900
722,Halloween: The Curse of Michael Myers
723,Twelfth Night
724,Mother Night
725,Wild Reeds
726,For Whom the Bell Tolls
727,The Philadelphia Story
728,Singin' in the Rain
729,An American in Paris
730,Funny Face
731,Breakfast at Tiffany's
732,Vertigo
733,Rear Window
734,It Happened One Night
735,Gaslight
736,The Gay Divorcee
737,North by Northwest
738,The Apartment
739,Some Like It Hot
740,Charade
741,Casablanca
742,The Maltese Falcon
743,My Fair Lady
744,Sabrina
745,Roman Holiday
746,The Little Princess
747,Meet Me in St. Louis
748,The Wizard of Oz
749,Gone with the Wind
750,My Favorite Year
751,Sunset Boulevard
752,Citizen Kane
753,2001: A Space Odyssey
754,All About Eve
755,The Women
756,Rebecca
757,Foreign Correspondent
758,Notorious
759,Spellbound
760,An Affair to Remember
761,To Catch a Thief
762,Father of the Bride
763,The Band Wagon
764,Ninotchka
765,Love in the Afternoon
766,Gigi
767,The Reluctant Debutante
768,The Adventures of Robin Hood
769,The Mark of Zorro
770,Laura
771,The Ghost and Mrs. Muir
772,Lost Horizon
773,Top Hat
774,To Be or Not to Be
775,My Man Godfrey
776,Giant
777,East of Eden
778,The Thin Man
779,His Girl Friday
780,Around the World in Eighty Days
781,It's a Wonderful Life
782,Mr. Smith Goes to Washington
783,Bringing Up Baby
784,Penny Serenade
785,The Scarlet Letter
786,Angel on My Shoulder
787,Little Lord Fauntleroy
788,They Made Me a Criminal
789,The Inspector General
790,Angel and the Badman
791,The 39 Steps
792,A Walk in the Sun
793,Night of the Living Dead
794,The African Queen
795,Beat the Devil
796,Cat on a Hot Tin Roof
797,The Last Time I Saw Paris
798,Meet John Doe
799,A Farewell to Arms
800,"Yes, Madam"
801,Dangerous Ground
802,Picnic
803,The Pompatus of Love
804,Fly Away Home
805,Bliss
806,Grace of My Heart
807,Maximum Risk
808,Michael Collins
809,The Rich Man's Wife
810,Big Night
811,Last Man Standing
812,Caught
813,Set It Off
814,2 Days in the Valley
815,Extreme Measures
816,The Glimmer Man
817,D3: The Mighty Ducks
818,The Chamber
819,The Apple Dumpling Gang
820,"Davy Crockett, King of the Wild Frontier"
821,Escape to Witch Mountain
822,The Love Bug
823,Herbie Rides Again
824,Old Yeller
825,The Parent Trap
826,Pollyanna
827,Homeward Bound: The Incredible Journey
828,The Shaggy Dog
829,Swiss Family Robinson
830,That Darn Cat!
831,"20,000 Leagues Under the Sea"
832,Cool Runnings
833,Angels in the Outfield
834,Cinderella
835,Winnie the Pooh and the Blustery Day
836,The Three Caballeros
837,The Sword in the Stone
838,So Dear to My Heart
839,Robin Hood: Prince of Thieves
840,Mary Poppins
841,Dumbo
842,Pete's Dragon
843,Bedknobs and Broomsticks
844,Alice in Wonderland
845,The Fox and the Hound
846,Freeway
847,The Sound of Music
848,Die Hard
849,The Lawnmower Man
850,The Secret Agent
851,Secrets & Lies
852,That Thing You Do!
853,To Gillian on Her 37th Birthday
854,Surviving Picasso
855,Beautiful Thing
856,The Long Kiss Goodnight
857,The Ghost and the Darkness
858,Looking for Richard
859,Trees Lounge
860,Normal Life
861,Get on the Bus
862,Shadow Conspiracy
863,Jude
864,Everyone Says I Love You
865,Romeo + Juliet
866,Swingers
867,Sleepers
868,Johns
869,Aladdin and the King of Thieves
870,Shall We Dance
871,A Damsel in Distress
872,Crossfire
873,"Murder, My Sweet"
874,Willy Wonka & the Chocolate Factory
875,The Innocents
876,Sleeper
877,Bananas
878,A Fish Called Wanda
879,Life of Brian
880,Victor/Victoria
881,The Candidate
882,The Great Race
883,Bonnie and Clyde
884,The Old Man and the Sea
885,Dial M for Murder
886,Madame Butterfly
887,Dirty Dancing
888,Reservoir Dogs
889,Platoon
890,Weekend at Bernie's
891,Basic Instinct
892,The Doors
893,The Crying Game
894,Glengarry Glen Ross
895,Sophie's Choice
896,E.T. the Extra-Terrestrial
897,A Christmas Carol
898,Days of Thunder
899,Top Gun
900,Rebel Without a Cause
901,A Streetcar Named Desire
902,Children of the Corn IV: The Gathering
903,Microcosmos
904,Palookaville
905,The Associate
906,The Funeral
907,The People vs. Larry Flynt
908,A Perfect Candidate
909,On Golden Pond
910,The Return of the Pink Panther
911,Drop Dead Fred
912,The Abyss
913,The Fog
914,Escape from New York
915,The Howling
916,Jean de Florette
917,Manon of the Spring
918,Private Benjamin
919,Monty Python and the Holy Grail
920,Hustler White
921,Snowriders
922,When We Were Kings
923,The Wrong Trousers
924,The Return of Martin Guerre
925,Faust
926,He Walked by Night
927,Raw Deal
928,T-Men
929,The Tin Drum
930,The Ruling Class
931,Mina Tannenbaum
932,2 or 3 Things I Know About Her
933,The Bloody Child
934,Dear God
935,Bad Moon
936,American Dream
937,Bob Roberts
938,Cinema Paradiso
939,"The Cook, the Thief, His Wife & Her Lover"
940,Dead Tired
941,Delicatessen
942,The Double Life of Veronique
943,Enchanted April
944,Paths of Glory
945,The Grifters
946,Hear My Song
947,The Shooter
948,The English Patient
949,Mediterraneo
950,My Left Foot: The Story of Christy Brown
951,"Sex, Lies, and Videotape"
952,Passion Fish
953,Strictly Ballroom
954,The Thin Blue Line
955,Tie Me Up! Tie Me Down!
956,Madonna: Truth or Dare
957,Paris is Burning
958,One Flew Over the Cuckoo's Nest
959,Up in Smoke
960,The Empire Strikes Back
961,The Princess Bride
962,Raiders of the Lost Ark
963,Brazil
964,Aliens
965,"The Good, the Bad and the Ugly"
966,Withnail & I
967,12 Angry Men
968,Lawrence of Arabia
969,A Clockwork Orange
970,To Kill a Mockingbird
971,Apocalypse Now
972,Once Upon a Time in the West
973,Return of the Jedi
974,Wings of Desire
975,The Third Man
976,GoodFellas
977,Alien
978,Army of Darkness
979,The Big Blue
980,Ran
981,The Killer
982,Psycho
983,The Blues Brothers
984,The Godfather: Part II
985,Full Metal Jacket
986,A Grand Day Out
987,Henry V
988,Amadeus
989,The Quiet Man
990,Once Upon a Time in America
991,Raging Bull
992,Annie Hall
993,The Right Stuff
994,Stalker
995,Das Boot
996,The Sting
997,Harold and Maude
998,Trust
999,The Seventh Seal
1000,Local Hero
1001,The Terminator
1002,Braindead
1003,Glory
1004,Rosencrantz & Guildenstern Are Dead
1005,Manhattan
1006,Miller's Crossing
1007,Dead Poets Society
