,tagline
121,There is no escape from the past.
122,Their greatest battle would be for her love.
123,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
124,"There is no right or wrong, only fun and boring"
125,Love is an adventure when one of you is sure... and the other is positive.
126,The hottest data on earth. In the coolest head in town.
127,"In the future, one man is the law."
128,For truth. For justice. For five bucks a day.
129,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
130,Trust Nothing Except Your Fear.
131,A wild and sexy adventure!
132,They're not there to shop. They're not there to work. They're just there.
133,The Power Is On!
134,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
135,Unseen. Unforgiving. Undead.
136,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
137,Ready or Not.
138,"Sassy, savvy and definitely clued-in!"
139,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
140,The most twisted Christmas ever.
141,In the 21st century nobody will be... Safe.
142,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
143,Beyond your wildest dreams. Beyond your wildest fantasies.
144,Where there's smoke... there's laughter!
145,"A story about husbands, wives, parents, children and other natural disasters."
146,Our time is up.
147,You know you want it.
148,a film for all the young lovers of the world
149,"If you really believe, magic will find you"
150,Touched by Genius. Cursed by Madness. Blinded by Love.
151,Attitude is everything
152,Last time he rocked the boat. This time the sky's the limit.
153,Sometimes you find your heroes in the most unlikely places
154,A man in search. A woman in need. A story of fate.
155,Beyond the horizon lies the secret to a new beginning.
156,Reality Just Switched Sides
157,The greatest lessons in the life and the ones learned by heart.
158,A moving and poignant story set against the corrupt politics of the Stalinist era.
159,Once You Know The Faces You Will Begin To Understand The Story
160,Can the greatest romance of your life last only one night?
161,Billy is going back to school... Way back.
162,Something about her captures the imagination.
163,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
164,The best cure for a disease is friendship
165,Hideous... hungry... and loose!
166,Just because they serve you doesn't mean they like you.
167,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
168,Sex Is Power.
169,Taking crime to new heights
170,Fate visits in ways you never expect
171,Prepare yourself for the moment of truth.
172,"Sometimes, an accident can be an unhappy woman's best friend."
173,"What the one doesn't have, the other is missing."
174,"In a world of temptation, obsession is the deadliest desire."
175,"To crack this case, these two cops will have to flash more than their badges."
176,"When it came to making bad movies, Ed Wood was the best."
177,Partners in survival. Friends for life.
178,It's the story of a father who couldn't be closer...to driving his son crazy.
179,He was bought back from the dead... but he didn't come back alone.
180,Unleash your imagination... and come along on a magical journey. Follow him home.
181,Où s'arrête le pouvoir de sa voix?
182,The talking pig who made it big!
183,The original green hero!
184,In a world filled with violence... his only weapon is the truth!
185,An Extraordinary True Story.
186,From a secret world no one could see... came a crime no one could believe.
187,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
188,He's trapped in a world where killing is an art and revenge is an obsession
189,Think Love.
190,Drink from me and live forever
191,A powerful man torn between his love for one woman and his secret desire for another.
192,Nothing is inconceivable
193,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
194,Joust Do It.
195,"A long time ago in a galaxy far, far away..."
196,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
197,Every girl everywhere is a princess.
198,"In Tita's kitchen, ordinary spices become a recipe for passion."
199,After the Fall from Innocence the Legend begins.
200,He's looking for a few good men... or a few guys old enough to shave.
201,Brothers in blood. Partners in crime.
202,Mothers. Warriors. Sisters. Survivors.
203,Who decides what makes a mother?
204,Be Warned.  It's Alive
205,Jack wants to marry Ben's mother. But there are strings attached.
206,You can't get enough of a good thing... But first you have to find it.
207,"If you really believe, anything can happen."
208,Love is great. Marriage is a completely different affair.
209,Three generations of dreams.
210,The trial that brought down Alcatraz
211,In a town where nothing ever happens... everything is about to happen to Sully.
212,Her heart. Her soul. Her language are a mystery...A mystery called Nell
213,The Only Thing That Matters Is The Ride
214,Psychological Terror Beyond Your Wildest Nightmares
215,Sometimes you have to break your vow to keep your promise.
216,The Media Made Them Superstars.
217,A love story written in the stars.
218,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
219,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
220,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
221,"If you want a job done well, hire a professional."
222,"On the way to finding a family, she found love."
223,Just because you are a character doesn't mean you have character.
224,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
225,Fifty million people watched but no one saw a thing.
226,Think you are quick enough?
227,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
228,An enchanting classic destined to capture your heart and free your spirit.
229,Between land and sea there is a place where myths are real.
230,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
231,It will take you a million light years from home. But will it bring you back?
232,What if your dad was Santa Claus?
233,Fear can hold you prisoner. Hope can set you free.
234,The award winning thriller that'll bury you with laughs.
235,A thriller where nothing is black and white.
236,Life is not a movie
237,We're all just . . . The Sum of Us.
238,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
239,"In 2033, justice rides a tank and wears lip gloss."
240,Ready for your deadtime story?
241,Boldly go.
242,Chill or be Chilled
243,"For better, for worse, forever."
244,Beware the Children
245,"If at first you don't succeed, lower your standards."
246,"For passion, betrayal and murder... there's still no place like home."
247,Surviving the streets was just a rehearsal.
248,A film about the love you find...In the last place you look.
249,Justice needs a new program.
250,A story about love at second sight.
251,You've got one life to live. What's it gonna be?
252,Success is the best revenge.
253,Friends Forever
254,"He's the best there is! (Actually, he's the only one there is.)"
255,She's back... Looking as gorgeous and outrageous as ever in a brand new frock.
256,A kinky voyage with a full head of steam.
257,The war of drugs would lead him to the war of power.
258,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.
259,Real love is forever.
260,Everyone hated this baseball legend. And he loved it.
261,Yabba-Dabba-Doo!
262,"The world will never be the same, once you've seen it through the eyes of Forrest Gump."
263,Five good reasons to stay single.
264,Romance Was Never More Dangerous!
265,A cop. A waitress. A lottery ticket.
266,Life's greatest adventure is finding your place in the Circle of Life.
267,A magical journey to a place where the past and present meet
268,"One, Two, Freddy's coming for you..."
269,From zero to hero.
270,"In their hands, a deck of cards was the only thing more dangerous than a gun."
271,"New York in the 1920's. The only place to be was the Algonquin, and the only person to know was Dorothy Parker."
272,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!"
273,"A behind-the-lines look at work, marriage and other forms of combat."
274,A comedy about love in the '90s
275,Where nothing is as it seems.
276,An adventure so big... even the world's richest kid can't afford to miss it!
277,Life's best journeys take you home
278,The vacation is over
279,Get ready for rush hour
280,There are two sides to every relationship... Don't trust either of them.
281,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
282,"When he said I do, he never said what he did."
283,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.
284,The animal is out.
285,The epic story of love and adventure in a lawless land.
286,Bribery. Blackmail. Murder. Specialities of the house.
287,He's armed and dangerously funny.
288,"3 Tales of Love, Lust, & Liberation"
289,Go-Go For a Wild Ride With the ACTION GIRLS!
290,Love is courage.
291,A nursery crime of epic proportions...
292,The fight to save the world is on!
293,Love is the deadliest illusion.
294,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one."
295,Lived Any Good Books Lately?
296,Hang on for the ride of your life!
297,Some games you play. Some games play you.
298,The Family Just Got A Little Stranger
299,In a world of tradition. In an age of innocence. They dared to break the rules.
300,The amps are on but nobody's home.
301,"They're on the look out for thrills, action and adventure."
302,It was a dangerous time to be a woman. And a good time to have friends.
303,Americans. Anti Americans. In Love.
304,"For Hector, history has a way of repeating itself."
305,The day they moved in... Beverly Hills moved out.
306,"What you can't see, can kill you."
307,5. 4. 3. 2. 1......Time's Up.
308,"In a world of secrets, love is the most powerful weapon."
309,Imagine... you're gone and someone else is living inside your body.
310,"Beyond love, beyond obsession, there hides something beyond reason."
311,"One man lives in the neighborhood, another man owns it."
312,"He's Setting Sail On The High Seas... Without A Rudder, A Compass, Or A Clue!"
313,He's got a good future if he can live past next week.
314,The height of adventure.
315,Young ones! Parental units! We summon you!
316,"In the heat of desire, love can turn to deception. Nothing is what it seems when day turns into night."
317,TURBULENCE REDEMPTION HOLLYWOOD
318,"In a country where anybody can become President, anybody just did."
319,See it with a bud.
320,The 21st Century's most dangerous cop. The 21st Century's most ruthless criminal.
321,"Sex, murder and revenge were never this funny."
322,Two Women. Three Men. One Secret.
323,Some people are afraid of nothing.
324,The First Drive-By Comedy
325,"If you want a degree go to Harvard, If you want an education go to Simon Wilder."
326,Evil is patient
327,He thought there was nothing as seductive as money. He was wrong.
328,Power can be murder to resist.
329,How far would you go for a friend?
330,A murdered wife. A one-armed man. An obsessed detective. The chase begins.
331,A Warrior. A Leader. A Legend.
332,"..He's not getting mad, he's Getting Even With Dad."
333,The girl is out there
334,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!"
335,Don't hunt what you can't kill.
336,An amazing true story of survival.
337,Just deux it.
338,"Sex, Lies and Fantasies... Unrated!"
339,This bachelor party's gonna' bring down the house!
340,They took him for a fall guy... but he threw them for a hoop.
341,"Sleep tight, America! The safety of the free world rests in his hands!"
342,An assassin on the loose. A president in danger. Only one man stands between them...
343,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.
344,Summer's Never Been So Much Fun!
345,Who needs a heart when a heart can be broken?
346,Don't move. Don't whisper. Don't even breathe.
347,An adventure 65 million years in the making.
348,Fear never travels alone.
349,"When the world turns upside down, the trick is coming out on top."
350,Best Friends Are Forever
351,This isn't the movies anymore.
352,He's a talent agent. She's a thief. Looks like they've already got something in common.
353,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad."
354,Her doctor wasn't playing God. He thought he was God.
355,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
356,Keaton & Allen reunited for fun flick!
357,This is the truth. This is what's real.
358,Fasten your seat belts
359,Romance. Mischief. Seduction. Revenge. Remarkable.
360,Everything That Makes Him Dangerous Makes Her Love Him More
361,Sometimes love is a stranger. And sometimes it's someone you've known all your life.
362,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.
363,Who says the good guy has to be a guy?
364,No Guards. No Walls.
365,A family comedy that appeals to the child in everyone.
366,No one would take on his case... until one man was willing to take on the system.
367,A Street Romance.
368,From Different Worlds They Come To Prove Themselves In The Gritty World of College Football.
369,Trust No One
370,"At station WBN, the hits just keep on coming."
371,They might be his hostages but what they're doing to this guy is criminal.
372,Diamond in the Rough
373,"One Man's Mission To Teach The Few, The Proud... The Impossible!"
374,A collision of East and West. A conspiracy of seduction and murder. A battle between tradition and power. Business is war.
375,A comedy of the heart and other organs.
376,He's back to lay down the law.
377,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?"
378,The story of a cop who wanted it bad and got it worse.
379,Give Him Smack In Head Special ...
380,A woman's search for herself.
381,"It's not the size of the dog in the fight, It's the size of the fight in the dog."
382,"Whoever saves one life, saves the world entire."
383,He was praying for a miracle. What he got was Steve Nebraska.
384,Every journey begins with a single move.
385,"The timeless tale of a special place where magic, hope and love grow."
386,"Every Mom Wants to Be Wanted, But Not For Murder One!"
387,The Shadow Knows!
388,Short Cuts raises the roof on America.
389,A twist of fate brought them something wonderful... Each other!
390,"In the 1930s, an artist and his models scandalized a nation with their controversial paintings. For a young couple, meeting them was the experience of a lifetime."
391,"For Paul, every person is a new door to a new world."
392,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
393,You like to watch... don't you?
394,Man has made his match... now it's his problem.
395,He's a relative nightmare.
396,The honeymoon was killer.
397,"They shouldn't have put him in the water, if they didn't want him to make waves."
398,This Ain't No Game.
399,The ultimate manhunt.
400,It's not the fall that kills you...
401,The sound of genius.
402,One girl. Two guys. Three possibilities.
403,A ghoulish tale with wicked humor & stunning animation.
404,All for one and one for all!
405,Justice is coming.
406,"For one juror, the question of guilt or innocence is a matter of life or death... her own."
407,"Stealing, Cheating, Killing. Who said romance was dead?"
408,They Changed The Way Campaigns Are Won
409,All The Adventure Your Imagination Can Hold.
410,You only hurt the one you love.
411,Not all girls want to play with dolls.
412,Who needs God and Heaven? We can change this lousy world.
413,It was supposed to be a routine prisoner transfer. But this was no ordinary prisoner.
414,Major League is about to experience a minor problem . . . . . . he's 12-years-old.
415,"Ciao, Professore!"
416,A gripping comedy about letting go.
417,Mischief loves company
418,The greatest adventure is finding your way home.
419,She was everything they dreamed of... And nothing they expected.
420,A Family Comedy Without the Family.
421,A love that will last forever.
422,Wish granted!
423,It's nothing personal.
424,Inside everyone is a frontier waiting to be discovered.
425,Have you ever danced with the devil in the pale moonlight?
426,To enter the mind of a killer she must challenge the mind of a madman.
427,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year."
428,The most beautiful love story ever told.
429,For anyone who has ever wished upon a star.
430,Who knew it was so much fun to be a hooker?
431,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
432,This is one jagged twisting ride you'll never forget.
433,She was having a perfectly bad day... Then he came along and spoiled it.
434,Evil comes when you call his name.
435,A lot can happen in the middle of nowhere.
436,Your favorite talking animals are back!
437,A Step Beyond Science Fiction
438,"This year, the past, the present and the future will all meet at the crossroads of hell."
439,Something magical is about to unfold in the most unexpected place.
440,The passionate tale of forbidden secrets!
441,You'll Laugh Till Your Heart Breaks
442,A tune-filled animated extravaganza.
443,Every woman has a secret...
444,Minor league. Major friendship.
445,"In this battle, there can be no winners"
446,"When you play, you pay."
447,Love... Sex... Life... Death. In this house it's all on the table.
448,"Sooner or later, a man who wears two faces forgets which one is real."
449,A story of first loves and last chances.
450,Heaven help us! Look who's back in the adventure of 2 lifetimes.
451,The fight against fascism begins with the fight against Stalinism.
452,"A hilarious heart-ringing fable about life, love and hangups."
453,"With family, everything is relative."
454,All he ever wanted was an honest week's pay for an honest day's work.
455,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air."
456,"A fresh, sassy and sexy comedy!"
457,Two women. One man. The combination can be murder.
458,A medal for honor. A search for justice. A battle for truth.
459,Expect the Impossible.
460,The remarkable story of one woman's unbreakable spirit.
461,You will believe.
462,The newest coach in the NBA has got the Knicks right where she wants them.
463,Passion at ten. Envy at eleven. Murder at noon.
464,Adventures this big don't grow on trees.
465,Together forever. Or else.
466,Shove this up your mind
467,"A comedy about a wife, her husband and his hit man."
468,"Caught between honor and revenge, how far will one man go..."
469,Every year Hollywood makes hundreds of movies. This is one of them.
470,Get ready to jam.
471,See Barbarella do her thing!
472,An unforgettable romance
473,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.
474,A Top-Secret Mission Of Gigantic Proportions!
475,"A love, a hope, a wall."
476,"A love, a hope, a wall."
477,The story of a girl who is going from filthy to rich
478,Part man. Part machine. Total weapon.
479,Trust no one.
480,"Just when she met the man of her dreams, along came her husband to ruin everything."
481,"In 1939, Elena went to Paris searching for her voice as a writer. What she found was her voice as a woman."
482,For everyone on the outside looking in... your moment has arrived!
483,No one stays innocent forever.
484,Go the distance
485,"This isn't America, this is Los Angeles."
486,Brian's about to discover the woman he loves isn't the woman he loves.
487,The first Disney movie with attitude.
488,"If you can't beat 'em, steal him."
489,This summer it's finally safe to go back in the water.
490,No one can survive becoming a legend.
491,They Weren't Born Yesterday!
492,"Sometimes to get more out of life, you have to make more of yourself."
493,Can your MIND stand the SHOCKING TRUTH?
494,Welcome to the witching hour.
495,If you can't find the perfect contender....make one.
496,Sometimes justice is a crime
497,She discovered a new branch of her family tree... the one with all the nuts.
498,"For an ex-cop obsessed with an unsolved murder, trusting the wrong woman could be a deadly choice."
499,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.
500,"Zombies, guns, and sex, OH MY!!!"
501,The Dark Side of Nature.
502,Don't call me babe!
503,It found a voice... Now it needs a body.
504,Let the curse fit the crime.
505,All the action. All the women. Half the intelligence.
506,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.
507,As American as apple pie and twice as smart.
508,The greatest danger facing our world has been the planet's best kept secret... until now.
509,The hot-line suspense comedy
510,Some friendships are worth a fortune
511,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!
512,The story of The Vietnam Veterans Memorial and its inspiring creator.
513,Slam Evil!
514,Some People Get Into Trouble No Matter What They WEAR.
515,Jack Powell is about to tackle his biggest adventure ever... the fifth grade!
516,You only get one shot at fame.
517,Love is a chain of love... as nature is a chain of life.
518,The ultimate orgy of evil
519,Choose life.
520,Earth. Take a good look. It might be your last.
521,The most beautiful place to be is in love.
522,All fans have a favorite player.  This one has a favorite target.
523,There's no such thing as free cable.
524,You wouldn't want to meet these pinheads in an alley.
525,He will erase your past to protect your future.
526,"Inside Sherman Klump, a party animal is about to break out."
527,No air. No escape. No time.
528,No Rest for the Wicked.
529,John Sayles invites you to return to the scene of the crime.
530,On your case!
531,Some things in life just can't be explained.
532,A movie for everyone who wants to get married and stay single at the same time.
533,A romantic comedy about two brothers... and the one thing that came between them.
534,Experience a time you'll never forget.
535,They had a plan. It wasn't worth a nickle.
536,A missing father. A desperate search. An unforgettable adventure.
537,See how they run.
538,The world's most powerful genie has just met his match
539,He's got 5 days to go coast-to-coast. (There's just one BIG problem.)
540,Obsesssion Can Be Murder
541,The more everything changes the more they stay the same.
542,Torrid!...Tantalizing!...Tempestuous!...
543,A new angle on the classic tale... And that's no lie!
544,Sex Bugs Rock 'n Roll
545,Don't get mad. Get everything.
546,The fight for the right to love
547,Someone is going to pay.
548,A Dangerous Mind is a terrible thing to waste
549,Ain't nothin' but a g-string.
550,It took them 17 years to learn the rules. And one week to break them all.
551,Reaction Time 8-4-96
552,A little magic goes a long way.
553,Cupid is armed and dangerous!
554,Believe in the power of another
555,There's More Than One Way To Keep A Marriage Together...
556,"To a town with no future, comes a girl with a past."
557,Snake Is Back.
558,"In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
559,Golf Pro. Love Amateur.
560,An offer you can't refuse.
561,"There's never a cop around when you need one, but when this cop's around, all you need is one."
562,You are now entering Tongland
563,"In their world, you can't buy freedom, but you can steal it."
564,A dad in a hurry. A man on the run. And five kids with an attitude.
565,"Kansas City, 1934. Anything could happen here. One night it did."
566,Even the fish are laughing!
567,The Most Dangerous Man Alive Is A Man With Nothing To Lose
568,Only One Force Can Stop This Crime Wave....And She's One Tough Cop!
569,The Next Evolution In Terror.
570,The gates of hell are unlocked.
571,He's young. He's wild. He's fun. And he's the one protecting the president's son.
572,"When Nothing Works, Anything Goes."
573,"A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
574,Tough cop. Hostile witness.
575,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!
576,The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.
577,Thunderous! Tender! Touching!
578,Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!
579,What a Glorious Feeling!
580,What a joy! It's M-G-M's Technicolor musical!
581,'S Wonderful! 'S Marvelous!
582,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"
583,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!
584,It only takes one witness to spoil the perfect crime.
585,TOGETHER... for the first time
586,Strange drama of a captive sweetheart!
587,The King and Queen of 'Carioca'
588,It's a deadly game of 'tag' and Cary Grant is 'it'...
589,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"
590,The movie too HOT for words!
591,Is anyone really who they seem to be?
592,They had a date with fate in Casablanca!
593,A story as EXPLOSIVE as his BLAZING automatics!
594,The loverliest motion picture of them all!
595,...the chauffeur's daughter who learned her stuff in Paris
596,Romance in romantic Rome!
597,A great classic comes to life in glorious Technicolor!
598,M·G·M's glorious love story with music!
599,"We're off to see the Wizard, the wonderful Wizard of Oz!"
600,The greatest romance of all time!
601,A Hollywood Story
602,It's Terrific!
603,An epic drama of adventure and exploration
604,It's all about women... and their men!
605,It's all about men!
606,The shadow of this woman darkened their love.
607,The thrill spectacle of the year!
608,Notorious woman of affairs... Adventurous man of the world
609,The maddest love that ever possessed a woman.
610,In Italy... on the Mediterranean... across an ocean... and all over New York!
611,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!
612,You're invited . . . to a hilarious wedding !
613,Get Aboard!
614,Greta Garbo laughs!
615,Love is a game any number can play... especially in the afternoon...
616,Thank heaven for Gigi
617,MGM presents the Comedy-Romance in luscious COLOR!
618,Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!
619,The story of a love that became the most fearful thing that ever happened to a woman!
620,THE SPIRIT... so willing! THE FLESH... so weak! THE ROMANCE... so wonderful!
621,At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !
622,They're Dancing Cheek-To-Cheek Again!
623,The legendary epic that's as big as Texas.
624,Of what a girl did . . . what a boy did ... of ecstasy and revenge!
625,A laugh tops every thrilling moment!
626,She learned about men from him!
627,"It's a wonderful world, if you'll only take the time to go around it!"
628,It's a wonderful laugh! It's a wonderful love!
629,"Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"
630,"And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!"
631,"""Remember the tune they were singing the night we fell in love?..."""
632,With an ANGEL on his shoulder... And the DEVIL in his heart!
633,Sensational Human Drama!
634,A new comedy kayo from Warner Bros.
635,He lived only for revenge...She lived only for his love!
636,Handcuffed to the girl who double-crossed him
637,THEY FOUGHT BEST WHEN IT WAS HOPELESS!
638,"If it doesn't scare you, you're already dead!"
639,The greatest adventure a man ever lived...with a woman!
640,They're Out To Beat the Devil At His Own Game!
641,Just one pillow on her bed ... and just one desire in her heart!
642,The sensational story of youth on a fling
643,"ALL AMERICA WANTS TO MEET THE ""MR. DEEDS"" OF 1941!"
644,Every woman who has loved will understand
645,Every woman who has loved will understand
646,What he wants is revenge. What he gets is the fight of his life.
647,Electrically attracted to each other...Overwhelmingly engulfed by it...Guiltily in love!
648,Woman are a mystery
649,Love is only the beginning.
650,For years her songs brought fame to other people. Then she found her own voice.
651,The Other Side of Safety.
652,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny."
