,title,tagline
77,Mina Tannenbaum,
78,Now and Then,In every woman there is the girl she left behind.
79,Jane Eyre,The passionate tale of forbidden secrets!
80,Jean de Florette,
81,Safe Passage,Life's best journeys take you home
82,Home for the Holidays,We'll do it every year..until we get it right
83,A Pyromaniac's Love Story,
84,The Postman,
85,A Perfect Candidate,"In the Voting Booth, No One Can Hear You Scream"
86,It Happened One Night,TOGETHER... for the first time
87,Pete's Dragon,Brazzle Dazzle Brilliance!
88,The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.
89,"The Haunted World of Edward D. Wood, Jr.",Can your MIND stand the SHOCKING TRUTH?
90,Solo,Part man. Part machine. Total weapon.
91,D3: The Mighty Ducks,No Fear. No Limits. No Brakes. Just Ducks.
92,Grace of My Heart,For years her songs brought fame to other people. Then she found her own voice.
93,Guilty as Sin,"She's finally met her match. He's handsome, wealthy, seductive. A Real Lady Killer!"
94,Notorious,Notorious woman of affairs... Adventurous man of the world
95,The Underneath,"For passion, betrayal and murder... there's still no place like home."
96,Something to Talk About,"A story about husbands, wives, parents, children and other natural disasters."
97,The Flintstones,Yabba-Dabba-Doo!
98,Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.
99,Lamerica,
100,Cool Runnings,One dream. Four Jamaicans. Twenty below zero.
101,Eddie,The newest coach in the NBA has got the Knicks right where she wants them.
102,Dumb and Dumber,"What the one doesn't have, the other is missing."
103,Angus,For everyone on the outside looking in... your moment has arrived!
104,Heavy Metal,A Step Beyond Science Fiction
105,Stuart Saves His Family,
106,They Made Me a Criminal,Sensational Human Drama!
107,Platoon,The first casualty of war is innocence.
108,12 Angry Men,Life is in their hands. Death is on their minds.
109,Paths of Glory,It explodes in the no-man's land no picture ever dared cross before!
110,Homeward Bound: The Incredible Journey,
111,Maximum Risk,The Other Side of Safety.
112,The Story of Xinghua,
113,The Right Stuff,How the future began.
114,Village of the Damned,Beware the Children
115,The Juror,There is no defense.
116,Some Like It Hot,The movie too HOT for words!
117,Germinal,Who needs God and Heaven? We can change this lousy world.
118,Tommy Boy,"If at first you don't succeed, lower your standards."
119,The Silence of the Lambs,To enter the mind of a killer she must challenge the mind of a madman.
120,The Brothers McMullen,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
121,"Murder, My Sweet",An Original Philip Marlowe Mystery
122,A Perfect World,
123,Children of the Corn IV: The Gathering,In a sleepy midwestern town... A horrifying evil is about to rise again!
124,Miracle on 34th Street,"If you really believe, anything can happen."
125,Searching for Bobby Fischer,Every journey begins with a single move.
126,Lord of Illusions,Trust Nothing Except Your Fear.
127,That Darn Cat!,It takes a Siamese secret agent to unravel the PURR-fect crime!
128,M. Butterfly,
129,The Basketball Diaries,The true story of the death of innocence and the birth of an artist.
130,Charade,Is anyone really who they seem to be?
131,Lone Star,John Sayles invites you to return to the scene of the crime.
132,Beautiful Thing,
133,Kalifornia,Fear never travels alone.
134,Glory,Their innocence. Their heritage. Their lives.
135,Home Alone,A Family Comedy Without the Family.
136,Mortal Kombat,Nothing In This World Has Prepared You For This.
137,If Lucy Fell,A comedy for the romantically challenged.
138,The Celluloid Closet,
139,Balto,Part Dog. Part Wolf. All Hero.
140,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
141,Twelve Monkeys,The future is history.
142,Like Water for Chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion."
143,Clean Slate,
144,Escape from New York,1997. New York City is now a maximum security prison. Breaking out is impossible. Breaking in is insane.
145,Rebel Without a Cause,The bad boy from a good family.
146,The Little Princess,A great classic comes to life in glorious Technicolor!
147,The Browning Version,The greatest lessons in the life and the ones learned by heart.
148,The Glimmer Man,Two good cops. One bad situation.
149,Timecop,They killed his wife ten years ago. There's still time to save her. Murder is forever... until now.
150,Backbeat,
151,Sleeper,Woody Allen takes a nostalgic look at the future.
152,My Fair Lady,The loverliest motion picture of them all!
153,The Hunted,He's trapped in a world where killing is an art and revenge is an obsession
154,James and the Giant Peach,Adventures this big don't grow on trees.
155,The Shooter,
156,Delicatessen,A futuristic comic feast.
157,The Associate,Behind Every Great Man Is A Woman... Wishing He'd Get The Hell Out Of Her Way.
158,Strawberry and Chocolate,
159,When Night Is Falling,
160,The Client,A district attorney out for a conviction. A new lawyer out of her league. A young boy who knew too much.
161,Princess Caraboo,She was everything they dreamed of... And nothing they expected.
162,The Substitute,
163,The Wild Bunch,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."
164,Spirits of the Dead,The ultimate orgy of evil
165,Manon of the Spring,
166,The Promise,"A love, a hope, a wall."
167,Love and a .45,This is one jagged twisting ride you'll never forget.
168,Raiders of the Lost Ark,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.
169,Tales from the Crypt: Demon Knight,Ready for your deadtime story?
170,Double Happiness,You've got one life to live. What's it gonna be?
171,Ruby in Paradise,A woman's search for herself.
172,Sirens,"In the 1930s, an artist and his models scandalized a nation with their controversial paintings. For a young couple, meeting them was the experience of a lifetime."
173,Nobody's Fool,In a town where nothing ever happens... everything is about to happen to Sully.
174,The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
175,Poetic Justice,A Street Romance.
176,North by Northwest,It's a deadly game of 'tag' and Cary Grant is 'it'...
177,The Little Rascals,Mischief loves company
178,The Madness of King George,
179,Milk Money,You can't get enough of a good thing... But first you have to find it.
180,One Fine Day,She was having a perfectly bad day... Then he came along and spoiled it.
181,Even Cowgirls Get the Blues,
182,The Englishman Who Went Up a Hill But Came Down a Mountain,
183,Ghost in the Shell,It found a voice... Now it needs a body.
184,Super Mario Bros.,This Ain't No Game.
185,I'll Do Anything,
186,Vertigo,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!
187,Bad Boys,Whatcha gonna do?
188,When a Man Loves a Woman,Through the good times. Through the bad times. When a Man Loves a Woman it's for all times.
189,The Ruling Class,
190,Forget Paris,
191,All About Eve,It's all about women... and their men!
192,Country Life,
193,Scream of Stone,"In this battle, there can be no winners"
194,Colonel Chabert,
195,"Ciao, Professore!","Ciao, Professore!"
196,Clerks,Just because they serve you doesn't mean they like you.
197,The Ghost and the Darkness,Prey For The Hunters
198,Four Weddings and a Funeral,Five good reasons to stay single.
199,Disclosure,Sex Is Power.
200,Ri¢hie Ri¢h,An adventure so big... even the world's richest kid can't afford to miss it!
201,From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.
202,Sense and Sensibility,Lose your heart and come to your senses.
203,Quiz Show,Fifty million people watched but no one saw a thing.
204,The Three Musketeers,All for one and one for all!
205,Independence Day,Earth. Take a good look. It might be your last.
206,The English Patient,"In love, there are no boundaries."
207,"Red Firecracker, Green Firecracker",
208,Jury Duty,For truth. For justice. For five bucks a day.
209,Father of the Bride,You're invited . . . to a hilarious wedding !
210,Blade Runner,Man has made his match... now it's his problem.
211,No Escape,No Guards. No Walls.
212,Georgia,The toughest act to follow was their dreams.
213,Amateur,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
214,Leon: The Professional,"If you want a job done well, hire a professional."
215,Angels in the Outfield,Ya Gotta Believe!
216,Underground,
217,Orlando,
218,She's the One,A romantic comedy about two brothers... and the one thing that came between them.
219,Muriel's Wedding,Success is the best revenge.
220,First Kid,He's young. He's wild. He's fun. And he's the one protecting the president's son.
221,Star Trek: Generations,Boldly go.
222,Tales from the Hood,Chill or be Chilled
223,Pollyanna,"Meet the people, the pleasure, the entertainment of the year! All the love, laughter and drama that life can hold, poured into one unforgettable motion picture!"
224,Forrest Gump,"The world will never be the same, once you've seen it through the eyes of Forrest Gump."
225,It Takes Two,Two identical strangers. Two different worlds. One perfect match.
226,Breakfast at Tiffany's,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"
227,Batman,Have you ever danced with the devil in the pale moonlight?
228,Angel on My Shoulder,With an ANGEL on his shoulder... And the DEVIL in his heart!
229,The River Wild,The vacation is over
230,The Return of the Pink Panther,
231,Beauty and the Beast,The most beautiful love story ever told.
232,The Naked Gun 33⅓: The Final Insult,"A Mad Bomber is on the Loose, and If Anyone Can Stop Him....So Can Frank!"
233,Braindead,Some things won't stay down... even after they die.
234,Savage Nights,
235,The Nutty Professor,"Inside Sherman Klump, a party animal is about to break out."
236,Get Shorty,"The mob is tough, but it’s nothing like show business."
237,Ace Ventura: When Nature Calls,New animals. New adventures. Same hair.
238,Heavenly Creatures,From a secret world no one could see... came a crime no one could believe.
239,Citizen Kane,It's Terrific!
240,Under Siege 2: Dark Territory,Last time he rocked the boat. This time the sky's the limit.
241,"Paris, France",
242,Batman Returns,"The Bat, the Cat, the Penguin."
243,Boys on the Side,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
244,In the Army Now,"Sleep tight, America! The safety of the free world rests in his hands!"
245,Michael Collins,"Ireland, 1916. His Dreams Inspired Hope. His Words Ignited Passion. His Courage Forged A Nation's Destiny."
246,A Grand Day Out,
247,Happy Gilmore,He doesn't play golf... he destroys it.
248,The Double Life of Veronique,"Each of us is matched somewhere in the world, by our exact double - someone who shares our thoughts and dreams"
249,Friday,A lot can go down between thursday and saturday...
250,Nico Icon,
251,Barbarella,See Barbarella do her thing!
252,Bed of Roses,He gave her flowers. She gave him a chance.
253,Love Affair,
254,The Return of Martin Guerre,
255,The Favor,Two Women. Three Men. One Secret.
256,Stealing Beauty,The most beautiful place to be is in love.
257,Little Big League,Major League is about to experience a minor problem . . . . . . he's 12-years-old.
258,Hustler White,See it with someone you've paid for.
259,The Inkwell,Summer's Never Been So Much Fun!
260,Batman: Mask of the Phantasm,The Dark Knight fights to save Gotham city from its deadliest enemy.
261,The Endless Summer 2,
262,The Piano,
263,Mary Reilly,The untold story of Jekyll and Hyde
264,A Thin Line Between Love and Hate,"When you play, you pay."
265,Wyatt Earp,The epic story of love and adventure in a lawless land.
266,Willy Wonka & the Chocolate Factory,It's Scrumdiddlyumptious!
267,Nell,Her heart. Her soul. Her language are a mystery...A mystery called Nell
268,Death in the Garden,Torrid!...Tantalizing!...Tempestuous!...
269,Beverly Hills Cop III,
270,Bordello of Blood,
271,With Honors,"If you want a degree go to Harvard, If you want an education go to Simon Wilder."
272,Dirty Dancing,Have the time of your life.
273,Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
274,House Party 3,This bachelor party's gonna' bring down the house!
275,Legends of the Fall,After the Fall from Innocence the Legend begins.
276,New Nightmare,"One, Two, Freddy's coming for you..."
277,Batman: Year One,A merciless crime turns a man into an outlaw.
278,Waterworld,Beyond the horizon lies the secret to a new beginning.
279,Full Metal Jacket,"Vietnam can kill me, but it can’t make me care."
280,Les Miserables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
281,The Fog,Lock your doors. Bolt your windows. There's something in THE FOG!
282,Robin Hood: Men in Tights,"The legend had it coming... Find out where Robin Hood put his Little John, what made Will Scarlet, and what did Friar Tuck into his tights that Maid Marion all of a quiver?"
283,Flirt,
284,The Jerky Boys,
285,The Secret of Roan Inish,Between land and sea there is a place where myths are real.
286,Drop Zone,Taking crime to new heights
287,Halloween: The Curse of Michael Myers,Haddonfield is ready to celebrate Halloween.... so is Michael Myers!
288,A Low Down Dirty Shame,He's armed and dangerously funny.
289,Manhattan Murder Mystery,Keaton & Allen reunited for fun flick!
290,Gordy,The talking pig who made it big!
291,The People vs. Larry Flynt,"You may not like what he does, but are you prepared to give up his right to do it?"
292,"Boys Life: Three Stories of Love, Lust, and Liberation","3 Tales of Love, Lust, & Liberation"
293,Picnic,Electrically attracted to each other...Overwhelmingly engulfed by it...Guiltily in love!
294,Kingpin,You wouldn't want to meet these pinheads in an alley.
295,Bound,"In their world, you can't buy freedom, but you can steal it."
296,Striptease,Some People Get Into Trouble No Matter What They WEAR.
297,Faithful,"A comedy about a wife, her husband and his hit man."
298,East of Eden,Of what a girl did . . . what a boy did ... of ecstasy and revenge!
299,In the Mouth of Madness,Lived Any Good Books Lately?
300,Batman Begins,Evil fears the knight.
301,Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
302,Bye Bye Love,
303,King of the Hill,"When the world turns upside down, the trick is coming out on top."
304,The Love Bug,Herbie will honk his way into your heart.
305,Cops & Robbersons,
306,Bringing Up Baby,"And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!"
307,Jack & Sarah,"She's not proper, she's not fitting, she's not British, but to Jack she's a breath of fresh air."
308,Alphaville,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.
309,Kids in the Hall: Brain Candy,Shove this up your mind
310,Dead Tired,
311,The Day the Sun Turned Cold,
312,Johns,
313,Ghost,A love that will last forever.
314,The World of Apu,
315,Nothing to Lose,The Most Dangerous Man Alive Is A Man With Nothing To Lose
316,The Man without a Face,A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.
317,Around the World in Eighty Days,"It's a wonderful world, if you'll only take the time to go around it!"
318,Gumby: The Movie,The original green hero!
319,The Run of the Country,An unforgettable romance
320,Herbie Rides Again,The Loveable Bug's back doin' his thing!
321,Destiny Turns on the Radio,Fate visits in ways you never expect
322,Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
323,Canadian Bacon,"I'll tell ya another thing, their beer sucks!"
324,Senior Trip,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
325,Romeo + Juliet,My only love sprung from my only hate.
326,"Corrina, Corrina",
327,The Tin Drum,"A savage, sweeping epic of society in chaos."
328,Maverick,"In their hands, a deck of cards was the only thing more dangerous than a gun."
329,Candyman: Farewell to the Flesh,Evil comes when you call his name.
330,The Nightmare Before Christmas,A ghoulish tale with wicked humor & stunning animation.
331,Man of the Year,He as a centerfold who revealed everything ... but the truth.
332,Loaded,
333,Vanya on 42nd Street,
334,The Terminator,Your future is in his hands.
335,Sgt. Bilko,All he ever wanted was an honest week's pay for an honest day's work.
336,The Dark Knight Rises,The Legend Ends
337,While You Were Sleeping,A story about love at second sight.
338,Vive L'Amour,
339,Hellraiser: Bloodline,"This year, the past, the present and the future will all meet at the crossroads of hell."
340,Multiplicity,"Sometimes to get more out of life, you have to make more of yourself."
341,Terminator 2: Judgment Day,It's nothing personal.
342,Romeo Is Bleeding,The story of a cop who wanted it bad and got it worse.
343,The Thin Man,A laugh tops every thrilling moment!
344,Mighty Morphin Power Rangers: The Movie,The Power Is On!
345,The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
346,Hard Target,Don't hunt what you can't kill.
347,Go Fish,The girl is out there
348,The Aristocats,A tune-filled animated extravaganza.
349,On Golden Pond,when life is at its finest...when love is at its fullest...
350,Once Upon a Time... When We Were Colored,
351,The Grifters,Seduction. Betrayal. Murder. Who's conning who?
352,The Scarlet Letter,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
353,Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
354,A Streetcar Named Desire,"...Blanche, who wanted so much to stay a lady..."
355,The Indian in the Cupboard,
356,The Swan Princess,An enchanting classic destined to capture your heart and free your spirit.
357,Jade,Some fantasies go too far.
358,Swimming with Sharks,Life is not a movie
359,Bloodsport II,"Caught between honor and revenge, how far will one man go..."
360,Clear and Present Danger,The war of drugs would lead him to the war of power.
361,The Addiction,The dark is their sunlight. What makes them different is what keeps them alive.
362,Heaven & Earth,An amazing true story of survival.
363,Pather Panchali,
364,The Birdcage,Come as you are.
365,Phenomenon,Some things in life just can't be explained.
366,Judge Dredd,"In the future, one man is the law."
367,Casino,No one stays at the top forever.
368,American Dream,"The award-winning film of American lives, American courage, and the..."
369,Unstrung Heroes,Sometimes you find your heroes in the most unlikely places
370,Harold and Maude,They were meant to be. But exactly what they were meant to be is not quite clear.
371,My Favorite Year,
372,Love & Human Remains,
373,Shadowlands,
374,An Awfully Big Adventure,
375,Mute Witness,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
376,Batman,He's Here Big As Life In A Real Bat-Epic
377,The Secret Agent,
378,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,The hot-line suspense comedy
379,Two If by Sea,"A new comedy about love, laughter, and larceny"
380,Chain Reaction,Reaction Time 8-4-96
381,The Blues Brothers,They'll never get caught. They're on a mission from God.
382,Jefferson in Paris,A powerful man torn between his love for one woman and his secret desire for another.
383,Belle de Jour,Luis Bunuel's Masterpiece of Erotica!
384,Meet John Doe,"ALL AMERICA WANTS TO MEET THE ""MR. DEEDS"" OF 1941!"
385,Heavyweights,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
386,French Kiss,
387,RoboCop 3,He's back to lay down the law.
388,Victor/Victoria,The disguise surprise comedy of the year!
389,Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
390,Trust,A slightly twisted comedy
391,Bedknobs and Broomsticks,You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!
392,Species,Our time is up.
393,The City of Lost Children,Where happily ever after is just a dream.
394,The Seventh Seal,
395,Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
396,The Wrong Trousers,Winner of the 1993 Academy Award for Best Animated Short.
397,To Die For,All she wanted was a little attention.
398,The Brady Bunch Movie,
399,Crossfire,Hate is like a loaded gun!
400,Delta of Venus,"In 1939, Elena went to Paris searching for her voice as a writer. What she found was her voice as a woman."
401,Swingers,Cocktails first. Questions later.
402,Dracula: Dead and Loving It,
403,Trainspotting,Choose life.
404,Made in America,"At the sperm-bank she asked for a tall, intelligent, black man. One out of three ain't bad."
405,Aladdin,Wish granted!
406,Cold Comfort Farm,She discovered a new branch of her family tree... the one with all the nuts.
407,2001: A Space Odyssey,An epic drama of adventure and exploration
408,2 or 3 Things I Know About Her,
409,The Jungle Book,
410,"Cry, the Beloved Country",
411,Walking and Talking,A movie for everyone who wants to get married and stay single at the same time.
412,Cronos,
413,He Walked by Night,Savage TRUTH! Stronger than Fiction!
414,A Month by the Lake,
415,Murder in the First,The trial that brought down Alcatraz
416,Pinocchio,For anyone who has ever wished upon a star.
417,The Island of Dr. Moreau,The gates of hell are unlocked.
418,Up in Smoke,The movie that'll have you rolling in the aisles.
419,Passion Fish,
420,Life of Brian,He wasn't the messiah. He was a very naughty boy.
421,Malice,Her doctor wasn't playing God. He thought he was God.
422,Heat,A Los Angeles Crime Saga
423,The Land Before Time III: The Time of the Great Giving,
424,The Scout,He was praying for a miracle. What he got was Steve Nebraska.
425,Diabolique,Two women. One man. The combination can be murder.
426,Miller's Crossing,"Up is down, black is white, and nothing is what it seems."
427,Street Fighter,The fight to save the world is on!
428,Screamers,The last scream you hear will be your own.
429,The Usual Suspects,Five Criminals. One Line Up. No Coincidence.
430,Jurassic Park,An adventure 65 million years in the making.
431,Once Were Warriors,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
432,Prêt-à-Porter,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
433,Bad Company,Bribery. Blackmail. Murder. Specialities of the house.
434,Speechless,There are two sides to every relationship... Don't trust either of them.
435,Stalker,
436,Pulp Fiction,Just because you are a character doesn't mean you have character.
437,Batman v Superman: Dawn of Justice,Justice or revenge
438,Showgirls,Beyond your wildest dreams. Beyond your wildest fantasies.
439,Mirage,Love is the deadliest illusion.
440,Six Degrees of Separation,"For Paul, every person is a new door to a new world."
441,Dangerous Ground,What he wants is revenge. What he gets is the fight of his life.
442,A Goofy Movie,It's the story of a father who couldn't be closer...to driving his son crazy.
443,DragonHeart,You will believe.
444,The Godfather,An offer you can't refuse.
445,Space Jam,Get ready to jam.
446,Homeward Bound II: Lost in San Francisco,Your favorite talking animals are back!
447,Two Deaths,Obsesssion Can Be Murder
448,Rebecca,The shadow of this woman darkened their love.
449,Nine Months,Ready or Not.
450,A Time to Kill,Experience a time you'll never forget.
451,A Close Shave,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.
452,Some Folks Call It a Sling Blade,
453,Wide Eyed and Legless,
454,City Slickers II: The Legend of Curly's Gold,
455,Johnny Mnemonic,The hottest data on earth. In the coolest head in town.
456,L'Enfer,
457,Kim,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!
458,Basic Instinct,A brutal murder. A brilliant killer. A cop who can't resist the danger.
459,Kazaam,The world's most powerful genie has just met his match
460,Airheads,The amps are on but nobody's home.
461,Flesh and Bone,Evil is patient
462,Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
463,Braveheart,Every man dies. Not every man truly lives.
464,Mission: Impossible,Expect the Impossible.
465,The Phantom,Slam Evil!
466,A Bronx Tale,"One man lives in the neighborhood, another man owns it."
467,Heidi Fleiss: Hollywood Madam,   
468,Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody."
469,Fresh,
470,Project S,Only One Force Can Stop This Crime Wave....And She's One Tough Cop!
471,Mr. Jones,Everything That Makes Him Dangerous Makes Her Love Him More
472,Fearless,Some people are afraid of nothing.
473,Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.
474,Army of Darkness,Trapped in time. Surrounded by evil. Low on gas.
475,Antonia's Line,A motion picture that celebrates everything you love about life.
476,I Love Trouble,Romance Was Never More Dangerous!
477,The Sting,...all it takes is a little confidence.
478,Raw Deal,Bullets!  Women! -- Can't Hold a Man Like That!
479,"The Cook, the Thief, His Wife & Her Lover",Lust...Murder...Dessert. Bon Appetit!
480,Secrets & Lies,
481,Mrs. Winterbourne,The story of a girl who is going from filthy to rich
482,The Horseman on the Roof,
483,Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.
484,"Batman: The Dark Knight Returns, Part 2",Justice Returns... Vengeance Returns... Redemption Comes to Gotham.
485,Coneheads,Young ones! Parental units! We summon you!
486,Dances with Wolves,Inside everyone is a frontier waiting to be discovered.
487,Dangerous Minds,She broke the rules... and changed their lives.
488,Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.
489,Crooklyn,
490,Living in Oblivion,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
491,So I Married an Axe Murderer,The honeymoon was killer.
492,The Great Race,"The movie with 20,000-mile or one-million-laughs guarantee!"
493,Butterfly Kiss,
494,To Catch a Thief,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!
495,Broken Arrow,Prepare to Go Ballistic.
496,Hot Shots! Part Deux,Just deux it.
497,The Prophecy,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
498,Last Action Hero,This isn't the movies anymore.
499,Free Willy,How far would you go for a friend?
500,The Sword in the Stone,Tired of living in a Medieval mess...Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!
501,Reservoir Dogs,Every dog has his day.
502,Daylight,No air. No escape. No time.
503,Party Girl,"Sassy, savvy and definitely clued-in!"
504,Cliffhanger,The height of adventure.
505,Joe's Apartment,Sex Bugs Rock 'n Roll
506,A Farewell to Arms,Every woman who has loved will understand
507,Lawrence of Arabia,
508,Matilda,A little magic goes a long way.
509,Black Beauty,
510,Aliens,This Time It's War
511,The Visitors,They Weren't Born Yesterday!
512,Mary Shelley's Frankenstein,Be Warned.  It's Alive
513,Higher Learning,
514,Grumpier Old Men,Still Yelling. Still Fighting. Still Ready for Love.
515,The Stupids,As American as apple pie and twice as smart.
516,Bitter Moon,A kinky voyage with a full head of steam.
517,Weekend at Bernie's,"Bernie may be dead, but he's still the life of the party!"
518,Far from Home: The Adventures of Yellow Dog,Partners in survival. Friends for life.
519,Reckless,The most twisted Christmas ever.
520,Raging Bull,
521,GoldenEye,No limits. No fears. No substitutes.
